id", "symbol", "html", "dec", "hex", "descr",
12768, "Κ", "&Kappa;", "&#922;", "&#x39A;", "Capital Kappa",
12769, "κ", "&kappa;", "&#954;", "&#x3BA;", "Lowercase Kappa",
12770, "Λ", "&Lambda;", "&#923;", "&#x39B;", "Capital Lambda",
12771, "λ", "&lambda;", "&#955;", "&#x3BB;", "Lowercase Lambda",
12772, "Μ", "&Mu;", "&#924;", "&#x39C;", "Capital Mu",
12773, "μ", "&mu;", "&#956;", "&#x3BC;", "Lowercase Mu",
12774, "Ν", "&Nu;", "&#925;", "&#x39D;", "Capital Nu",
12775, "ν", "&nu;", "&#957;", "&#x3BD;", "Lowercase Nu",
12776, "Ξ", "&Xi;", "&#926;", "&#x39E;", "Capital Xi",
12777, "ξ", "", "&#958;", "&#x3BE;", "Lowercase Xi",
12778, "Ο", "&Omicron;", "&#927;", "&#x39F;", "Capital Omicron",
12779, "ο", "&omicron;", "&#959;", "&#x3BF;", "Lowercase Omicron",
12780, "Π", "&Pi;", "&#928;", "&#x3A0;", "Capital Pi",
12781, "π", "&pi;", "&#960;", "&#x3C0;", "Lowercase Pi",
12782, "Ρ", "&Rho;", "&#929;", "&#x3A1;", "Capital Rho",
12783, "ρ", "&rho;", "&#961;", "&#x3C1;", "Lowercase Rho",
12784, "ς", "&sigmaf;", "&#962;", "&#x3C2;", "Lowercase Final Sigma",
12785, "Σ", "&Sigma;", "&#931;", "&#x3A3;", "Capital Sigma",
12786, "σ", "&sigma;", "&#963;", "&#x3C3;", "Lowercase Sigma",
12787, "Τ", "&Tau;", "&#932;", "&#x3A4;", "Capital Tau",
12788, "τ", "&tau;", "&#964;", "&#x3C4;", "Lowercase Tau",
12789, "Υ", "&Upsilon;", "&#933;", "&#x3A5;", "Capital Upsilon",
12790, "υ", "&upsilon;", "&#965;", "&#x3C5;", "Lowercase Upsilon",
12791, "Φ", "&Phi;", "&#934;", "&#x3A6;", "Capital Phi",
12792, "φ", "&phi;", "&#966;", "&#x3C6;", "Lowercase Phi",
12793, "Χ", "&Chi;", "&#935;", "&#x3A7;", "Capital Chi",
12794, "χ", "&chi;", "&#967;", "&#x3C7;", "Lowercase Chi",
12795, "Ψ", "&Psi;", "&#936;", "&#x3A8;", "Capital Psi",
12796, "ψ", "&psi;", "&#968;", "&#x3C8;", "Lowercase Psi",
12797, "Ω", "&Omega;", "&#937;", "&#x3A9;", "Capital Omega",
12798, "ω", "&omega;", "&#969;", "&#x3C9;", "Lowercase Omega",
12799, "А", "", "&#1040;", "&#x410;", ",
12800, "а", "", "&#1072;", "&#x430;", ",
12801, "Б", "", "&#1041;", "&#x411;", ",
12802, "б", "", "&#1073;", "&#x431;", ",
12803, "В", "", "&#1042;", "&#x412;", ",
12804, "в", "", "&#1074;", "&#x432;", ",
12805, "Г", "", "&#1043;", "&#x413;", ",
12806, "г", "", "&#1075;", "&#x433;", ",
12807, "Д", "", "&#1044;", "&#x414;", ",
12808, "д", "", "&#1076;", "&#x434;", ",
12809, "Е", "", "&#1045;", "&#x415;", ",
12810, "е", "", "&#1077;", "&#x435;", ",
12811, "Ж", "", "&#1046;", "&#x416;", ",
12812, "ж", "", "&#1078;", "&#x436;", ",
12813, "З", "", "&#1047;", "&#x417;", ",
12814, "з", "", "&#1079;", "&#x437;", ",
12815, "И", "", "&#1048;", "&#x418;", ",
12816, "и", "", "&#1080;", "&#x438;", ",
12817, "Й", "", "&#1049;", "&#x419;", ",
12818, "й", "", "&#1081;", "&#x439;", ",
12819, "К", "", "&#1050;", "&#x41A;", ",
12820, "к", "", "&#1082;", "&#x43A;", ",
12821, "Л", "", "&#1051;", "&#x41B;", ",
12822, "л", "", "&#1083;", "&#x43B;", ",
12823, "М", "", "&#1052;", "&#x41C;", ",
12824, "м", "", "&#1084;", "&#x43C;", ",
12825, "Н", "", "&#1053;", "&#x41D;", ",
12826, "н", "", "&#1085;", "&#x43D;", ",
12827, "О", "", "&#1054;", "&#x41E;", ",
12828, "о", "", "&#1086;", "&#x43E;", ",
12829, "П", "", "&#1055;", "&#x41F;", ",
12830, "п", "", "&#1087;", "&#x43F;", ",
12831, "Р", "", "&#1056;", "&#x420;", ",
12832, "р", "", "&#1088;", "&#x440;", ",
12833, "С", "", "&#1057;", "&#x421;", ",
12834, "с", "", "&#1089;", "&#x441;", ",
12835, "Т", "", "&#1058;", "&#x422;", ",
12836, "т", "", "&#1090;", "&#x442;", ",
12837, "У", "", "&#1059;", "&#x423;", ",
12838, "у", "", "&#1091;", "&#x443;", ",
12839, "Ф", "", "&#1060;", "&#x424;", ",
12840, "ф", "", "&#1092;", "&#x444;", ",
12841, "Х", "", "&#1061;", "&#x425;", ",
12842, "х", "", "&#1093;", "&#x445;", ",
12843, "Ц", "", "&#1062;", "&#x426;", ",
12844, "ц", "", "&#1094;", "&#x446;", ",
12845, "Ч", "", "&#1063;", "&#x427;", ",
12846, "ч", "", "&#1095;", "&#x447;", ",
12847, "Ш", "", "&#1064;", "&#x428;", ",
12848, "ш", "", "&#1096;", "&#x448;", ",
12849, "Щ", "", "&#1065;", "&#x429;", ",
12850, "щ", "", "&#1097;", "&#x449;", ",
12851, "Ъ", "", "&#1066;", "&#x42A;", ",
12852, "ъ", "", "&#1098;", "&#x44A;", ",
12853, "Ы", "", "&#1067;", "&#x42B;", ",
12854, "ы", "", "&#1099;", "&#x44B;", ",
12855, "Ь", "", "&#1068;", "&#x42C;", ",
12856, "ь", "", "&#1100;", "&#x44C;", ",
12857, "Э", "", "&#1069;", "&#x42D;", ",
12858, "э", "", "&#1101;", "&#x44D;", ",
12859, "Ю", "", "&#1070;", "&#x42E;", ",
12860, "ю", "", "&#1102;", "&#x44E;", ",
12861, "Я", "", "&#1071;", "&#x42F;", ",
12862, "я", "", "&#1103;", "&#x44F;", ",
12863, "–", "&ndash;", "&#150;", "&#x96;", "En Dash",
12864, "—", "&mdash;", "&#151;", "&#x97;", "Em Dash",
12865, "―", "", "&#8213;", "&#x2015;", "Horizontal Bar",
12866, "‘", "&lsquo;", "&#145;", "&#x91;", "Left Single Quote",
12867, "’", "&rsquo;", "&#146;", "&#x92;", "Right Single Quote",
12868, "‚", "&sbquo;", "&#130;", "&#x82;", "Single Low Quote",
12869, "“", "&ldquo;", "&#147;", "&#x93;", "Left Double Quote",
12870, "”", "&rdquo;", "&#148;", "&#x94;", "Right Double Quote",
12871, "„", "&bdquo;", "&#132;", "&#x84;", "Double Low Quote",
12872, "†", "&dagger;", "&#134;", "&#x86;", "Dagger",
12873, "‡", "&Dagger;", "&#135;", "&#x87;", "Double Dagger",
12874, "•", "", "&#149;", "&#x95;", "Small Bullet",
12875, "‣", "", "&#8227;", "&#x2023;", "Triangle Bullet",
12876, "…", "", "&#133;", "&#x85;", "Elipsis",
12877, "‰", "", "&#137;", "&#x2030;", "Per Mille Sign (per thousand)",
12878, "‹", "&lsaquo;", "&#139;", "&#x8B;", "Left Single Angle Quote",
12879, "›", "&rsaquo;", "&#155;", "&#x9B;", "Right Single Angle Quote",
12880, "‼", "", "&#8252;", "&#x203C;", "Double Exclamation Point",
12881, "‾", "&oline;", "&#8254;", "&#x203E;", "Overline",
12882, "⁄", "", "&#8260;", "&#x2044;", "Fraction Slash",
12883, "ⁿ", "", "&#8319;", "&#x207F;", "Superscript N",
12884, "₣", "", "&#8355;", "&#x20A3;", "Franc Franc Sign",
12885, "₤", "", "&#8356;", "&#x20A4;", "Lira Symbol",
12886, "₧", "", "&#8359;", "&#x20A7;", "Peseta Peseta Sign",
12887, "€", "&euro;", "&#128;", "&#x80;", "Euro Symbol",
12888, "℅", "", "&#8453;", "&#x2105;", "Care Of",
12889, "№", "", "&#8470;", "&#x2116;", "Number Word",
12890, "™", "&trade;", "&#153;", "&#x99;", "Trademark",
12891, "⅛", "", "&#8539;", "&#x215B;", "One Eighth Fraction",
12892, "⅜", "", "&#8540;", "&#x215C;", "Three Eighths Fraction",
12893, "⅝", "", "&#8541;", "&#x215D;", "Five Eighths Fraction",
12894, "⅞", "", "&#8542;", "&#x215E;", "Seven Eighths Fraction",
12895, "←", "&larr;", "&#8592;", "&#x2190;", "Left arrow",
12896, "↑", "&uarr;", "&#8593;", "&#x2191;", "Up arrow",
12897, "→", "&rarr;", "&#8594;", "&#x2192;", "Right arrow",
12898, "↓", "&darr;", "&#8595;", "&#x2193;", "Down arrow",
12899, "∂", "", "&#8706;", "&#x2202;", "Partial Differential Sign",
12900, "∆", "", "&#8710;", "&#x2206;", "Increment Sign",
12901, "∏", "", "&#8719;", "&#x220F;", "N-ary Product Sign",
12902, "∑", "", "&#8721;", "&#x2211;", "N-ary Sum Sign",
12903, "−", "", "&#8722;", "&#x2212;", "Minus Sign",
12904, "∙", "", "&#8729;", "&#x2219;", "Bullet Operator",
12905, "√", "", "&#8730;", "&#x221A;", "Square Root Sign",
12906, "∞", "", "&#8734;", "&#x221E;", "Infinity Sign",
12907, "∟", "", "&#8735;", "&#x221F;", "Right Angle Sign",
12908, "∩", "", "&#8745;", "&#x2229;", "Intersection Sign",
12909, "∫", "", "&#8747;", "&#x222B;", "Integral Sign",
12910, "≈", "", "&#8776;", "&#x2248;", "Approximately Equal Sign",
12911, "≠", "", "&#8800;", "&#x2260;", "Not Equal To Sign",
12912, "≡", "", "&#8801;", "&#x2261;", "Identical To Sign",
12913, "≤", "", "&#8804;", "&#x2264;", "Less Than or Equal To Sign",
12914, "≥", "", "&#8805;", "&#x2265;", "Greater Than or Equal To Sign",
12915, "♀", "", "&#9792;", "&#x2640;", "Female Indicator",
12916, "♂", "", "&#9794;", "&#x2642;", "Male Indicator",
12917, "♠", "&spades;", "&#9824;", "&#x2660;", "Spade card suit",
12918, "♣", "&clubs;", "&#9827;", "&#x2663;", "Clubs card suit",
12919, "♥", "&hearts;", "&#9829;", "&#x2665;", "Hearts card suit",
12920, "♦", "&diams;", "&#9830;", "&#x2666;", "Diamonds card suit",
12921, "♩", "", "&#9833;", "&#x2669;", "Quarter Note",
12922, "♪", "", "&#9834;", "&#x266A;", "Eighth Note",
12923, "♬", "", "&#9836;", "&#x266C;", "Two Eighth Notes",
12924, "♭", "", "&#9837;", "&#x266D;", "Flat",
12925, "♯", "", "&#9839;", "&#x266F;", "Sharp",
12926, "", "", "", "", ",
